//a
0,3,76
0.043,2,95
0.195,1,77
0.228,1,96
0.38,1,76
0.423,3,95
0.576,2,77
0.608,2,96
0.782,2,82
0.804,1,95
1,1,83
1.065,2,80
1.152,2,82
1.532,2,71
1.532,2,81
1.543,2,83
1.771,1,80
1.967,1,87
2.086,2,82
2.184,3,78
2.293,1,76
2.304,1,82
2.315,2,95
2.489,1,77
2.489,2,90
2.521,2,96
2.652,1,78
2.673,3,71
2.684,3,76
2.869,3,77
2.891,3,71
2.902,1,96
3.065,2,76
3.434,1,81
3.445,2,72
3.456,1,76
3.804,3,85
3.826,3,72
3.826,1,95
3.836,2,83
3.847,3,85
3.858,3,71
3.88,2,72
3.891,3,71
3.923,2,71
3.956,2,71
3.967,3,72
3.989,3,71
4.206,1,84
4.271,2,88
4.358,2,72
4.369,2,79
4.586,1,72
4.586,2,81
4.597,2,76
4.967,1,83
4.978,1,76
5.01,3,71
5.358,3,84
5.369,1,86
5.391,2,74
5.402,3,90
5.489,2,81
5.543,3,83
5.728,3,74
5.75,1,72
5.75,3,77
5.923,2,79
6.108,2,77
6.13,2,74
6.141,1,71
6.152,3,96
6.239,3,90
6.271,2,88
6.304,2,90
6.315,1,76
6.326,3,95
6.347,3,74
6.413,2,90
6.5,2,77
6.543,3,96
6.554,3,86
6.565,3,87
6.586,2,83
6.663,2,78
6.684,1,76
6.891,1,71
6.891,2,74
6.891,2,84
6.891,1,98
6.934,3,93
7.097,3,87
7.271,2,72
7.304,1,83
7.326,2,91
7.413,2,71
7.456,1,74
7.5,3,71
7.51,3,93
7.641,2,76
7.836,3,77
7.836,1,88
7.869,3,96
8.021,2,76
8.032,1,72
8.032,3,95
8.217,2,77
8.25,2,96
8.413,2,76
8.423,3,72
8.456,3,95
8.608,2,77
8.63,3,96
8.793,3,76
8.815,2,95
9.021,2,85
9.173,1,72
9.369,3,77
9.402,2,96
9.554,2,72
9.565,2,75
9.565,2,88
9.576,1,76
9.576,2,95
9.673,1,85
9.75,1,77
9.782,1,96
9.934,1,76
9.956,3,82
9.956,3,95
10.163,2,83
10.239,1,80
10.315,1,71
10.326,2,82
10.706,2,71
10.706,3,81
10.717,1,83
10.978,2,80
11.097,2,71
11.13,3,87
11.26,3,82
11.358,1,78
11.467,1,76
11.478,2,82
11.478,3,95
11.652,3,77
11.695,1,96
11.826,2,78
11.847,2,71
11.858,2,76
11.956,2,90
12.043,1,77
12.065,2,71
12.076,3,96
12.228,1,76
12.554,3,88
12.608,2,81
12.619,2,72
12.63,1,76
13,1,72
13,2,76
13,2,83
13.01,3,85
13.054,2,72
13.065,1,71
13.086,3,72
13.097,2,71
13.119,3,72
13.13,2,71
13.38,3,84
13.445,2,88
13.532,3,72
13.543,2,79
13.76,2,72
13.76,1,81
13.771,2,76
14.141,3,76
14.152,2,83
14.173,1,71
14.184,1,72
14.206,2,71
14.521,1,84
14.532,1,86
14.565,2,74
14.576,1,90
14.663,3,81
14.902,1,74
14.913,2,77
14.923,2,72
15.282,1,74
15.304,1,71
15.304,3,77
15.445,1,88
15.467,1,90
15.586,1,90
15.673,1,83
15.717,2,86
15.75,1,87
15.815,2,78
16.054,3,71
16.097,3,84
16.445,3,71
16.815,1,81
17.01,2,88
17.206,3,72
17.206,2,76
17.565,3,85
17.576,1,72
17.576,2,76
17.576,2,80
17.586,3,82
17.869,3,76
17.967,2,72
17.967,3,76
17.967,2,83
17.967,3,93
18,3,81
18.217,3,85
18.217,1,88
18.717,1,76
18.739,1,95
18.836,3,85
19.108,2,84
19.13,1,83
19.5,3,72
19.706,1,73
19.869,3,72
19.869,2,83
19.913,2,71
20,1,72
20.01,3,71
20.26,2,80
20.26,2,81
20.554,3,78
20.641,2,71
20.641,3,92
20.663,3,82
20.673,2,80
21.021,3,71
21.021,1,83
21.402,3,81
21.782,2,76
21.793,1,72
22.173,3,72
22.173,1,76
22.228,2,71
22.326,1,72
22.336,1,71
22.826,2,73
22.934,1,76
22.945,2,72
22.967,3,95
23.315,1,72
23.347,3,71
23.347,1,95
23.369,1,72
23.38,2,71
23.413,3,71
23.434,2,72
23.445,2,71
23.467,3,72
23.478,2,71
23.989,3,73
24.076,1,72
24.467,3,72
24.489,1,71
24.5,3,72
24.5,1,95
24.565,3,71
25.152,2,73
25.217,3,79
25.239,1,72
25.271,2,98
25.608,2,72
25.641,2,71
25.706,1,71
25.728,1,72
25.739,3,71
25.771,3,72
25.804,2,77
25.826,2,96
25.989,3,88
26,3,92
26,3,95
26.01,3,82
26.021,1,76
26.282,2,78
26.369,2,74
26.38,2,71
26.38,1,82
26.76,2,71
27.141,1,80
27.152,2,71
27.521,1,71
27.532,3,82
27.891,3,71
27.891,3,76
28.282,1,86
28.673,3,71
28.673,1,82
29.043,2,71
29.043,2,84
29.445,3,71
29.445,1,83
29.489,3,74
29.804,2,81
